ca,de
"Físicament, Abel era menut, alt i prim.
","Abel war körperlich klein, groß und schlank gebaut.
"
"Abele és considerat el primer arquitecte professional afroamericà.
","Abele wird als der erste professionelle afroamerikanische Architekt betrachtet.
"
"Abel va nàixer a Darmstadt.
","Abele wurde in Darmstadt geboren.
"
"Abeles va néixer a Viena, Àustria, però va créixer a Budapest.
","Abeles wurde in Wien, Österreich, geboren, wuchs aber in Budapest auf.
"
"Abelin era el responsable dels dos primers volums.
","Abelin war für die ersten beiden Bände verantwortlich.
"
"Els abelisàurids, però, van portar molts d'aquests trets definitius fins als seus extrems.
","Abelisaurids jedoch führte viele dieser bestimmenden Merkmale bis ins Extreme.
"
"Cada vespre, Vai i els convidats especials celebraven amb els campistes.
","Abend für Abend jammen Vai und Special Guests mit den Campern.
"
"El sopar a taula exactament a les cinc i mitja en punt.
","Abendessen um Punkt halb sechs auf dem Tisch.
"
"En qualsevol nit, els músics locals i celebritats de Canadà són sovint presents.
","Abends sind oft lokale Musiker und kanadische Prominente anwesend.
"
"Els vespres i els diumenges hi ha un tren cada hora en cada direcció.
","Abends und sonntags fährt der Zug in alle Richtungen stündlich.
"
"A les tardes i els diumenge, hi ha generalment un ofici de mitja hora a Cardiff Central.
","Abends und sonntags gibt es in der Regel eine halbstündliche Verbindung zum Cardiff Central.
"
"A la nit i els diumenges hi ha un servei de mitja hora en cada sentit.
","Abends und sonntags läuft der Betrieb in alle Richtungen halbstündlich.
"
"S'hi afegiran els vespres i així hi podran participar el mateix nombre d'autors.
","Abendstunden werden so viele wie teilnehmende Autoren hinzugefügt.
"
"“Més Aventurer” fa referència a una línia de les Meditacions en una Emergència de Frank O´Hara.
","„Abenteuerlicher“ spielt auf eine Zeile aus Frank O‘Haras „Betrachtungen in einem Notfall“ an.
"
"Però Anada experimentarà l’alliberació final en aquesta mateixa vida.
","Aber ... Ananda wird in diesem Leben die endgültige Erlösung erfahren.
"
"Però, puc ser franc amb tu, Bertie?
","Aber – darf ich ganz ehrlich zu dir sein, Bertie?
"
"Però el bisbe és un home tan tolerant i humanitari.
","Aber - der Bischof ist ein so toleranter, humaner Mensch.
"
"Però, com es pot lluitar?
","Aber - wie kann man kämpfen?
"
"Però, però això és una mica massa.
","Aber, aber das ist ein bisschen zu viel.
"
"Però a part de la de Whistler, tenen poc ús.
","Aber abgesehen von Whistler werden sie kaum genutzt.
"
"Però la carrera d’Albright als clubs no va estar a l'alçada de les grans expectatives.
","Aber Albrights Vereinskarriere erfüllte die hohen Erwartungen nicht.
"
"Però res d'això no importava a l'alquimista.
","Aber all das war dem Alchemisten egal.
"
"Però tot això serà inútil.
","Aber all dies wird nutzlos sein.
"
"Però en alguns cristalls hoste s’hi poden trobar ""tots"" els dissolvents.
","Aber „alle“ Lösungsmittel können in einigen Wirtskristallen gefunden werden.
"
"Però tots els meus somnis violaven aquesta llei.
","Aber alle meine Träume verstießen gegen dieses Gesetz.
"
"Però tothom i la seva tieta han passat per aquella bossa.
","Aber alle und zusammen mit seiner Tante Lilian haben die Tasche durchgesucht.
"
"Però l'única cosa que ella realment volia era una llar.
","Aber alles, was sie je wirklich wollte, war ein Zuhause.
"
"Però tot que passa dues vegades segurament passarà una tercera vegada.
","Aber alles, was zweimal passiert, passiert sicher auch ein drittes Mal.
"
"Però quan el regnat de Tiberi es va acabar, els seus poemes es van oblidar.
","Aber als das Kaisertum von Tiberius endete, wurden seine Gedichte vergessen.
"
"Però quan va tornar a augmentar el risc de guerra a Europa, va tornar a Itàlia.
","Aber als das Kriegsrisiko in Europa wieder anstieg, kehrte er nach Italien zurück.
"
"Però quan el Senat va rebutjar el seu projecte de llei, va convocar unes eleccions de doble dissolució.
","Aber als der Senat sein Bankengesetz ablehnte, berief er eine doppelte Auflösungswahl ein.
"
"Però quan els mags d'Egipte feren el mateix, el cor del faraó es va endurir.
","Aber als die ägyptischen Magier dasselbe taten, blieb Pharaos Herz stark.
"
"Però com a peça d’entreteniment sense restriccions i sense pretensions es converteix en el centre d’atenció.
","Aber als ein Stück uneingeschränkter, unprätentiöser Unterhaltung trifft es genau ins Schwarze.
"
"Però, a l'hora de la decisió final, en Michael va ser qui faria els dònuts.
","Aber als es zur endgültigen Entscheidung kam, wurde Michael der Donutbäcker.
"
"Però quan els pares de Huish van obrir Arrowsmith Archery, ell volia una feina.
","Aber als Huishs Eltern Arrowsmith Archery eröffneten, wollte er einen Job.
"
"Però quan vaig descobrir la música, vaig canviar.
","Aber als ich die Musik kennenlernte, änderte ich mich.
"
"«... però quan vaig dir que no podia ser candidat, ho deia seriosament!».
","„...aber als ich sagte, dass ich kein Kandidat sein könnte, dann meinte ich das auch!
"
"Però com a reformista de l'exèrcit, era absolutament extraordinari.
","Aber als Militärreformer war er absolut bemerkenswert.
"
"Però quan li preguntes si està enamorada d’en George, la lectura s’accelera.
","Aber als sie sie fragen, ob sie George liebt, schießt die Anzeige nach oben.
"
"Però al tercer dia vaig poder veure que estava inquiet.
","Aber am dritten Tag konnte ich sehen, dass er anfing, unruhig zu werden.
"
"Però al final.
","Aber am Ende dann.
"
"Però al final de dia, el seu sistema immunitari estava compromès.
","Aber am Ende des Tages war sein Immunsystem geschwächt.
"
"Però finalment va sonar de puta mare.
","Aber am Ende klang es verdammt gut.
"
"Però el primer dia de juny ell ve a la ciutat.
","Aber am ersten Tag im Juni kommt er in diese Stadt.
"
"Tanmateix, al riu Fish, els seus homes es van negar a anar més enllà.
","Aber am Fish River weigerten sich seine Männer, weiter zu gehen.
"
"De sobte, però, en el punt de partit, Patty va treure un revés sòlid i acurat.
","Aber am Matchball hatte Patty plötzlich eine feine, feste Rückhand.
"
"Però l’Àngela et va donar el teu barret abans que Gussie hagués estat allà.
","Aber Angela hat Ihnen Ihren Hut ausgehändigt, bevor Gussie überhaupt hier war.
"
"Però no s'exclouen en absolut altres tipus de música sagrada, especialment la polifonia...
","Aber auch andere Arten von Sakralmusik, insbesondere die Polyphonie, sind keinesfalls ausgeklammert...
"
"No obstant això, altres clubs també van començar a fer notar la seva presència a la localitat.
","Aber auch andere Clubs begannen, sich vor Ort zu etablieren.
"
"Però fins i tot això pot ser la meva vanitat.
","Aber auch das könnte meine Eitelkeit sein.
"
"Però el fet de que ella fos jueva no hauria de ser necessàriament un obstacle important.
","Aber auch die Tatsache, jüdisch zu sein, hätte nicht notwendigerweise ein großes Hindernis dargestellt.
"
"Amb tot, els recursos disponibles per a la conservació també tendeixen a variar d'aquesta manera.
","Aber auch die verfügbaren Ressourcen für den Naturschutz variieren tendenziell in dieser Weise.
"
"Tanmateix, aquesta funció també és avui, segons l'instrument de govern, cerimonial.
","Aber auch diese Rolle ist heutzutage, der Regierungsform entsprechend, zeremoniell.
"
"Tot i això, també es va dirigir a Bizanci.
","Aber auch er wandte sich Byzanz zu.
"
"Però el seu gir extrem no afecta a la seva importància a la Revolució dels Clavells.
","Aber auch seine extremen Taten beeinträchtigten seine Bedeutung in der Nelkenrevolution nicht.
"
"Però també especials per a la televisió australiana.
","Aber auch Specials für das australische Fernsehen.
"
"Però en tot cas, Ada... Et puc dir Ada?
","Aber auf alle Fälle, Ada – ich darf Sie doch Ada nennen?
"
"Però de lluny, a la seva petita escala, una pel·lícula superior.
","Aber auf seine eigene feine Art und Weise ein deutlich überlegener Film.
"
"«But, in the absence of pink, here's some blues».
","Aber aufgrund des Mangels an Pink ist hier etwas Blues.
"
"Però, com que és fonamentalment dolent per naturalesa, té una enemistat personal natural amb Titus.
","Aber aufgrund seiner grundsätzlich schlechten Natur hat es einen natürlichen persönlichen Feind mit Tito.
"
"Però el cas és que tinc una foto d'ella.
","Aber aus purem Zufall habe ich ein Foto von ihr.
"
"Però aviat m’hi vaig acostumar.
","Aber bald hatte ich mich daran gewöhnt.
"
"Però el beisbol és només secundari.
","Aber Baseball ist nur beiläufig.
"
"Però les asseveracions, l”especulació i els testimonis no substitueixen les proves.
","Aber Behauptungen, Spekulationen und Zeugnisse sind kein Ersatz für Beweise.
"
"Però en les últimes tres eleccions els comunistes van experimentar un continu descens en el percentatge.
","Aber bei den letzten drei Wahlen sank der Prozentsatz der Kommunisten kontinuierlich.
"
"Però en el setge de la ciutat de la seva germana Urraca, Zamora, que estava més ben defensada, Sancho va ser aturat.
","Aber bei einer Belagerung der stärker verteidigten Stadt Zamora von Schwester Urraca, wurde Sancho aufgehalten.
"
"Però quan hi ha lluna plena, no?
","Aber bei Mondlicht?
"
"Tanmateix, gran part del repte d'escriure codi consisteix a editar el codi que tu o algú altre ja heu escrit.
","Aber beim Schreiben von Code ein Großteil der Herausforderung besteht darin, Code umzuschreiben, der von Ihnen oder jemanden anderen bereits geschrieben ist.
"
"Però, Bertie, això és positivament brillant.
","Aber Bertie, das ist sehr intelligent.
"
"Però, Bertie, no voldràs pas dir que coneixes aquests Traverses?
","Aber, Bertie, Sie meinen doch nicht, dass Sie diese Traverses kennen?
"
"Val més tard que mai.
","Aber besser spät als nie.
"
"Però segur que ho has sentit?
","Aber bestimmt haben Sie es schon gehört?
"
"Però la vida social principal de Blake es centra en el luxós club de camp al qual assisteix.
","Aber Blakes Sozialleben dreht sich hauptsächlich um den wohlhabenden Countryclub, den er besucht.
"
"Però Bremer es va implicar molt en la política dels nazis a París.
","Aber Bremer wurde in Paris sehr stark in die Politik der Nazis involviert.
"
"Brown es va negar a fer el programa amb les noves condicions.
","Aber Brown lehnte es ab, die Show unter den neuen Bedingungen durchzuführen.
"
"Però Celia Harland no és una d'ells.
","Aber Celia Harland gehört nicht dazu.
"
"Però Celia Harland no és una d'aquelles dones.
","Aber Celia Harland ist nicht eine von diesen Frauen.
"
"Tot i que estava molt enfadat, en Charlie va poder reparar-lo i deixar-lo com nou.
","Aber Charlie, obwohl er richtig verärgert war, schaffte es, es zu reparieren als ob es neu wäre.
"
"Però les cançons country i el blues són el que són.
","Aber Country-Songs und der Blues sind so, wie sie sind.
"
"""Però hi ha una guerra tribal"", va reiterar el noi.
","„Aber da findet ein Stammeskrieg statt“, wiederholte der Junge.
"
"Però en això m'equivocava.
","Aber da habe ich mich geirrt.
"
"Però ja que la paraula ordre és molt lliure en llatí, la traducció és la mateixa.
","Aber da Latein eine sehr freie Wortstellung hat, ist die Übersetzung gleich.
"
"Però tal i com van anar els esdeveniments, Saward mai va escriure el seu retorn planejat.
","Aber da sich die Ereignisse gut entwickelten, verfasste Saward nie ihre geplante Rückkehr.
"
"Tanmateix, hi havia alguna cosa al seu cor que no li ho deixava fer.
","Aber da war etwas in seinem Herzen, das ihm dies nicht erlauben würde.
"
"Però hi havia alguna cosa més: una porta!
","Aber da war noch etwas anderes — eine Tür!
"
"Però hi havia alguna altra cosa a més de la seva bellesa que l'atreia.
","Aber da war noch etwas anderes als ihre Schönheit, das ihn an ihr reizte.
"
"Però aquell era el més semblant a mi expressant la meva perspectiva còmica a la vida.
","Aber dadurch konnte ich meine komische Lebenseinstellung am besten zum Ausdruck bringen.
"
"Però Daedalus va fer fallida abans que la seva versió arribés a la impremta.
","Aber Daidalos brach zusammen, bevor seine Version in Druck ging.
"
"Però per això Beneke en no savi significava una psicologia fonamentada en la fisiologia.
","Aber damit meinte Beneke keineswegs eine auf Physiologie basierende Psychologie.
"
"Però després d’això, Kutuzov va ordenar les seves forces que creuessin el Danubi per arribar a Bessaràbia.
","Aber danach befahl Kutuzov seinen Streitkräften, die Donau nach Bessarabien zu überqueren.
"
"Però després d”això va dedicar la seva vida a la seva escola de criquet a Wandsworth.
","Aber danach widmete er sein Leben seiner Cricket-Schule in Wandsworth.
"
"Però les seves habilitats interpretatives va canviar el ""mal"" caràcter que ella va retractar en un caràcter entranyable.
","Aber dank ihrer schauspielerischen Fähigkeiten konnte sie den ""schlechten"" Charakter, den sie darstellte, in einen sympathischen verwandeln.
"
"Però, de fet, sovint penso que us conec tal com sou realment.
","Aber dann denke ich oft, dass ich Sie so kenne, wie Sie wirklich sind.
"
"Però llavors Bugs veu Lola a la seva habitació.
","Aber dann entdeckt Bugs Lola in ihrem Zimmer.
"
"Però aleshores em vaig adonar que m'havia encallat.
","Aber dann erkannte ich, dass ich feststeckte.
"
"«Aleshores, però, no hauria d’haver tingut el meu meravellós cervell», va cridar l’Espantaocells.
","Aber dann hätte ich nicht mein wundervolles Gehirn haben sollen! schrie die Vogelscheuche.
"
"Però llavors va arribar quelcom aclaparador: l’assassinat de la Marthe.
","Aber dann passierte etwas Überwältigendes – der Mord an Marthe.
"
"Però, de sobte, Belboz desapareix.
","Aber dann verschwindet Belboz plötzlich.
"
"Però llavors va ser com: “Oh no, he d'actuar de veritat.
","Aber dann war es eher: ‚Oh nein, ich muss wirklich Leistung bringen.
"
"Però llavors em vaig adonar que no podia haver estat ella.
","Aber dann wurde mir klar, dass wäre in ihrem Fall nicht möglich.
"
"""Però llavors no serien part del teu futur"", havia dit la vident.
","„Aber dann würden sie ja kein Teil Ihrer Zukunft sein“, hatte der Weissager gesagt.
"
"Però el cotxe va tornar de Gènova a França!
","Aber das Auto kam von Genf zurück nach Frankreich!
"
"Però el millor de tot, tenia les historietes més escandaloses.
","Aber das Beste von allem war, dass es die skandalösesten Comicstrips hatte.
"
"Però la dita bíblica, Ves-hi sol.
","Aber das biblische Sprichwort Geh allein!
"
"Però no ho pots fer!
","Aber das dürfen Sie nicht tun!
"
"Però la felicitat conjugal no acabaria d’arribar mai.
","Aber das Eheglück sollte nicht sein.
"
"Però a la zona també hi havia dipòsits de carbó molt valuosos.
","Aber das Gebiet enthielt auch unermesslich wertvolle Kohlevorkommen.
"
"Però el tribunal va evitar acuradament revocar «Benson» o «Flook».
","Aber das Gericht vermied es vorsorglich, „Benson“ oder „Flook“ zu überstimmen.
"
"Però no he estat capaç de fer-ho.
","Aber das habe ich bisher nicht geschafft.
"
"Però jo no.
","Aber das habe ich nicht.
"
"Però això no em va consolar.
","Aber das hat mich nicht getröstet.
"
